,Bedroom,HoldType,HomeType,Price,NewBuilding,latitude,longitude
0,4,2,3,487000.0,0,51.38944579,-2.401028988
1,3,2,3,350000.0,0,51.38944579,-2.401028988
2,4,2,3,483000.0,0,51.39881181,-2.345813
3,3,2,2,438000.0,0,51.39881181,-2.345813
4,2,2,3,285000.0,0,51.37393586,-2.390161504
5,2,2,2,270000.0,0,51.37393586,-2.390161504
6,3,2,2,267000.0,0,51.35879893,-2.383167824
7,2,2,2,170000.0,0,51.35879893,-2.383167824
8,2,2,3,250000.0,0,51.37945,-2.397521906
9,3,2,3,252000.0,0,51.39658137,-2.394206405
10,3,1,2,340000.0,0,51.39301982,-2.34611381
11,2,2,2,301000.0,0,51.39789218,-2.394792645
12,2,2,2,290000.0,0,51.38064177,-2.385304449
13,3,2,2,332500.0,0,51.38064177,-2.385304449
14,1,2,2,209000.0,0,51.40083831,-2.298663384
15,5,2,2,1550000.0,0,51.38485554,-2.363856646
16,2,2,3,595000.0,0,51.37432074,-2.3479265590000002
17,2,2,2,415000.0,0,51.37432074,-2.3479265590000002
18,3,2,2,290000.0,0,51.39554516,-2.38691
19,2,2,1,310000.0,0,51.39554516,-2.38691
20,3,2,3,330000.0,0,51.37159353,-2.396850455
21,3,2,3,260000.0,0,51.37343616,-2.3862926730000003
22,6,2,2,850000.0,0,51.41166997,-2.3203160290000002
23,2,1,1,187500.0,0,51.39668131,-2.391217524
24,1,1,1,135000.0,0,51.39668131,-2.391217524
25,1,1,1,155000.0,0,51.39668131,-2.391217524
26,1,1,1,140000.0,0,51.39668131,-2.391217524
27,2,2,2,233000.0,0,51.39391449,-2.395793233
28,2,2,2,248000.0,0,51.39391449,-2.395793233
29,2,2,2,255000.0,0,51.39391449,-2.395793233
30,1,2,2,427500.0,0,51.38559703,-2.362511725
31,4,2,3,500000.0,0,51.39317457,-2.399207536
32,3,2,2,365500.0,0,51.39023645,-2.35968844
33,2,2,2,315000.0,0,51.37516462,-2.380172516
34,5,2,2,552500.0,0,51.37516462,-2.380172516
35,3,2,3,270000.0,0,51.3712156,-2.391589311
36,3,2,3,250000.0,0,51.3712156,-2.391589311
